original,fixed
V+//0AxP/9AKk-nh Long,Vinh Long
+//0Awv/9AKA-V+//0AxP/9AKg-NH LONG,Vinh Long
+//0Awv/9AKA-V+//0AxP/9AKk-nh Long,Vinh Long
+//0A7//9AL///QC9-Vinh Long,Vinh Long
+//0A7//9AL///QC9-VINH LONG,Vinh Long
 VINH PH+//0A7//9AL///QC9-C,Vinh Phuc
 V+//0AxP/9AKg-NH PH+//0Aw//9AJo-C,Vinh Phuc
V+ASk-nh Ph+APo-c,Vinh Phuc
VINH PH+//0A7//9AL///QC9-C,Vinh Phuc
Vinh Ph+//0A7//9AL///QC9-c,Vinh Phuc
V+//0AxP/9AKg-NH PH+//0Aw//9AJo-C,Vinh Phuc
V+//0AxP/9AKk-nh Ph+//0Aw//9ALo-c,Vinh Phuc
+//0Awv/9AKA-V+//0AxP/9AKg-NH PH+//0Aw//9AJo-C,Vinh Phuc
+//0Awv/9AKA-V+//0AxP/9AKk-nh Ph+//0Aw//9ALo-c,Vinh Phuc
+//0A7//9AL///QC9-Vinh Ph+//0A7//9AL///QC9-c,Vinh Phuc
+//0A7//9AL///QC9-VINH PH+//0A7//9AL///QC9-C,Vinh Phuc
 Y+//0Aw//9AIo-N B+//0Aw//9AIE-I,Yen Bai
 Y+//0A7//9AL///QC9-N B+//0A7//9AL///QC9-I,Yen Bai
Y+AOo-n B+AOE-i,Yen Bai
Y+//0Aw//9AKo-n B+//0Aw//9AKE-i,Yen Bai
Y+//0Aw//9AIo-N B+//0Aw//9AIE-I,Yen Bai
Y+//0A7//9AL///QC9-N B+//0A7//9AL///QC9-I,Yen Bai
Y+//0A7//9AL///QC9-n B+//0A7//9AL///QC9-i,Yen Bai
+//0Awv/9AKA-Y+//0Aw//9AKo-n B+//0Aw//9AKE-i,Yen Bai
+//0Awv/9AKA-Y+//0Aw//9AIo-N B+//0Aw//9AIE-I,Yen Bai
+//0A7//9AL///QC9-Y+//0A7//9AL///QC9-n B+//0A7//9AL///QC9-i,Yen Bai
+//0A7//9AL///QC9-Y+//0A7//9AL///QC9-N B+//0A7//9AL///QC9-I,Yen Bai
